"","r","delay.peakload.symponset"
"1",10,-0.121
"2",20,0.004
"3",30,0.00800000000000001
"4",40,0.00700000000000001
"5",50,0.00600000000000001
"6",60,0.00600000000000001
"7",70,0.005
"8",80,0.00399999999999998
"9",90,0.004
"10",100,0.004
"11",110,0.004
"12",120,0.00399999999999999
"13",130,0.003
