"","r","delay.peakload.symponset"
"1",10,NA
"2",20,-0.036
"3",30,-0.00900000000000001
"4",40,-0.003
"5",50,-0.001
"6",60,0
"7",70,0.001
"8",80,0.000999999999999973
"9",90,0.001
"10",100,0.001
"11",110,0.001
"12",120,0.001
"13",130,0.001
