"","dose","delay.peakload.symponset","symp.thresh"
"1",10,0.0105,2
"2",100,0.00890000000000002,2
"3",1000,0.00720000000000001,2
"4",10000,0.00510000000000001,2
"5",1e+05,0.0016,2
"6",1e+06,-0.0124,2
"7",1e+07,-0.0024,2
"8",1e+08,-4e-04,2
"9",1e+09,-1e-04,2
"10",1e+10,-1e-04,2
