"","dose","delay.peakload.symponset","symp.thresh"
"1",10,0.005,3
"2",100,0.004,3
"3",1000,0.003,3
"4",10000,0.00170000000000001,3
"5",1e+05,-0.000600000000000003,3
"6",1e+06,-0.0133,3
"7",1e+07,-0.0025,3
"8",1e+08,-4e-04,3
"9",1e+09,-1e-04,3
"10",1e+10,-1e-04,3
