"","k","delay.peakload.symponset","symp.thresh"
"1",1,0.0176,1
"2",2,0.0142,1
"3",3,0.0112,1
"4",4,0.009,1
"5",5,0.0075,1
"6",6,0.0063,1
"7",7,0.0054,1
"8",8,0.0047,1
"9",9,0.004,1
"10",10,0.0035,1
"11",11,0.0031,1
"12",12,0.0026,1
"13",13,0.0023,1
"14",14,0.002,1
"15",15,0.0017,1
"16",16,0.0015,1
"17",17,0.0013,1
"18",18,0.0011,1
"19",19,0.000899999999999998,1
"20",20,0.000800000000000002,1
