"","ID","p1","p2","p3","p4","convergence","sse","transp1","transp2","transp3","transp4"
"3697","ID4",22.5054078641596,-0.473720165145678,1.25931151798328,-10.6234910311207,0,25.9722187297621,10.0748144201629,0.622681476169805,52.88,2.43375281377023e-05
"3698","ID4",21.9326607268918,-0.36567180242132,9.43252783562338,-5.51717056502872,0,30.7571190419808,9.81085394446333,0.693730444503866,38.88,0.00401719827829422
"3699","ID4",21.9322642876093,-0.365620303188924,13.6159194484611,-5.51893437860965,0,30.7571194979643,9.81070449510422,0.69376617200921,38.88,0.00401011893457031
"3700","ID4",22.5066876072498,-0.473296485628728,1.25946839868571,-13.3078468930426,0,25.9770589843172,10.0755441959683,0.622945349451747,56.88,1.66140505813812e-06
"3701","ID4",22.5073839856026,-0.474052672793995,1.2590670447306,-10.233571206025,0,25.9697504784506,10.0755927820987,0.622474464234946,51.88,3.59431797734413e-05
"3702","ID4",24.4209630303479,-0.455292243128214,1.11946721504322,-3.50701197366154,0,22.9879818883523,10.8264881444438,0.634262581979593,42.88,0.0299863808020652
"3703","ID4",26.35442570771,-2.88717221223495,-14.1966307842092,10.9999355137716,0,73.3936317466675,11.7320912394631,0.0557335927594897,179.88,59870.2807821117
"3704","ID4",24.4162048983813,-0.454678622704351,1.12018133687631,-3.5062311126639,0,22.9879761247764,10.8244684089916,0.634651897887869,42.88,0.03000980514168
"3705","ID4",21.9329588530549,-0.365642745215004,5.69808272155748,-5.517069888077,0,30.7571191608112,9.81098257455386,0.693750602665388,38.88,0.00401760273793087
"3706","ID4",21.9327741747138,-0.365596233232044,2.79450624534578,-5.51593548680572,0,30.7570929887351,9.81088886031689,0.693782871132027,38.88,0.00402216289762073
"3707","ID4",24.4179024366899,-0.455065390755722,1.12015764477374,-3.50691617551079,0,22.9879273408687,10.8252147463024,0.634406482272542,42.88,0.0299892535794948
"3708","ID4",21.9332400981231,-0.365600323073734,8.97765170518608,-5.51494638647941,0,30.7571189610052,9.81107878832054,0.693780033675719,38.88,0.00402614318838419
"3709","ID4",21.9321852354512,-0.365692301137363,9.04093497243541,-5.51789218967912,0,30.7571193364571,9.8106561526342,0.693716224066225,38.88,0.00401430041470171
"3710","ID4",21.9328276451576,-0.365659226978445,13.2797396522118,-5.51756126586015,0,30.7571192935433,9.8109314891948,0.693739168526296,38.88,0.00401562906215386
"3711","ID4",24.4179757045515,-0.45502649433258,1.12010626208878,-3.50640755424038,0,22.9879292465254,10.8252191244586,0.634431158895434,42.88,0.0300045106314506
"3712","ID4",21.9332682746387,-0.365636364128952,6.17558854129503,-5.51471940354301,0,30.7571192429438,9.81108767509236,0.693755029561807,38.88,0.00402705715791125
"3713","ID4",24.4155558673942,-0.455384839023333,1.12023327841881,-3.5073589248695,0,22.9879421905688,10.8242028588166,0.634203854587074,42.88,0.0299759787956221
"3714","ID4",24.4206811377554,-0.455033335634684,1.11985531190512,-3.50578968974029,0,22.9879338309215,10.8263448548734,0.634426818575059,42.88,0.0300230550818011
"3715","ID4",24.4172856652586,-0.455161373930583,1.12011046631808,-3.50722946328222,0,22.9879290842216,10.8249539518865,0.634345592846448,42.88,0.0299798597846313
"3716","ID4",26.2270863492838,-2.88777502112537,-4.24553101084854,1.03321400298187,0,73.3935483290241,11.6492822388823,0.0557000061784408,176.88,2.81008295140212
"3717","ID4",21.9334002371342,-0.365687764846607,10.013068050886,-5.51500051870953,0,30.7571204531671,9.81114777317303,0.693719370971857,38.88,0.00402592525017341
"3718","ID4",24.4126667808809,-0.455012604364231,1.12087019149073,-3.5094930596537,0,22.9879715920778,10.823124761602,0.634439971185352,42.88,0.0299120742313154
"3719","ID4",21.9331187131914,-0.365624897539465,5.52634642156855,-5.51560229251935,0,30.7571189128768,9.81103392399943,0.693762984611544,38.88,0.00402350328260895
"3720","ID4",24.4188916867742,-0.454865190222394,1.1203597398769,-3.50663702748779,0,22.9879374846353,10.8256557957154,0.634533503503075,42.88,0.0299976261888871
"3721","ID4",21.9334198944977,-0.365530437320084,24.5989428819224,-5.51463645878397,0,30.7571195128056,9.81115398642307,0.693828520710497,38.88,0.00402739119504999
"3722","ID4",24.4170636528132,-0.455081317461897,1.12050527808049,-3.51166321146428,0,22.9881256774287,10.8251203090442,0.634396378347365,42.88,0.0298472308746766
"3723","ID4",21.9329369797848,-0.365643586656514,8.60212111545709,-5.51461278188248,0,30.7571191140401,9.81094235926695,0.693750018915079,38.88,0.00402748655232346
"3724","ID4",21.9324509513018,-0.365617569159289,6.84423283698671,-5.51735472524454,0,30.7571188872922,9.8107659069874,0.693768068789076,38.88,0.0040164585383097
"3725","ID4",24.3913667954527,-0.453823859400939,1.12204125531057,-3.50890658123051,0,22.9889387893539,10.8139894849342,0.635194606951477,42.88,0.0299296221626835
"3726","ID4",24.4161943156767,-0.454985792062123,1.12029033315917,-3.50767342648438,0,22.9879295862832,10.8245263691715,0.63445698220958,42.88,0.029966552784209
"3727","ID4",21.932489338997,-0.365660714055079,3.34381550494358,-5.51797952618311,0,30.7571190771186,9.81078976009917,0.693738136883755,38.88,0.00401394983504694
"3728","ID4",24.4196327210465,-0.455395941393901,1.11984234413457,-3.50654895273509,0,22.9879410048364,10.8259046448061,0.634196813459951,42.88,0.0300002683387469
"3729","ID4",21.9324886154598,-0.365606989556948,6.96471875960645,-5.51570415118382,0,30.7571191349722,9.81076180295171,0.693775408618188,38.88,0.00402309347480969
"3730","ID4",24.4185124777014,-0.4549952415265,1.12013608883136,-3.50700804962492,0,22.987928923087,10.825487685142,0.634450986959254,42.88,0.0299864984699521
"3731","ID4",21.9326075094447,-0.365653607035301,8.83930755941168,-5.51563735906152,0,30.7571189702065,9.81081194230742,0.693743067311935,38.88,0.00402336219473519
"3732","ID4",24.419239918879,-0.454980937420924,1.12018752814946,-3.50661663779799,0,22.9879305873594,10.825787362355,0.634460062278061,42.88,0.0299982378374154
"3733","ID4",24.4224838623251,-0.454911640143135,1.12013199432924,-3.50940213888577,0,22.9880946039688,10.8273428973385,0.634504030156652,42.88,0.0299147939837139
"3734","ID4",21.9323727751461,-0.365539798824501,15.1733548930116,-5.51917274593419,0,30.7571207950295,9.81075572087506,0.693822025462139,38.88,0.00400916316716518
"3735","ID4",21.9331301220809,-0.365560328014947,13.3384015590797,-5.51583773572934,0,30.7571190489631,9.81104273650123,0.693807782003846,38.88,0.0040225560875904
