"ID","p1","p2","p3","p4"
"ID1",24.0213537687925,-1.08562556431255,4.14231573974162,-3.47053066676646
"ID2",23.0221873403301,-0.181801352319152,3.70193414388504,-3.14707206276265
"ID3",21.4353923674055,-1.31855174966704,4.5704628166378,-3.3830602845671
"ID4",24.5577994107008,1.45397847303746,3.47953805701826,-2.93367818114165
"ID5",20.2018756492428,0.209263707744067,3.36019645339296,-0.931715630453884
"ID6",22.6231221554891,0.225934752345064,3.44537576807276,-3.81818016199051
"ID7",24.4524058107215,0.129871023371508,3.70673540918931,-4.01098442735644
"ID8",22.1538922999444,-0.333095891348265,4.06148621394375,-3.48680301035593
"ID10",24.6378228260549,0.865665512898554,3.65584237401268,-3.72424746339718
"ID11",27.9298842482556,-0.118585221498825,3.82621369134689,-3.29187708732279
"ID12",29.0697835543983,2.05087894908487,3.63934760890765,-3.17262138168323
"ID13",28.9691053942142,-0.783210173410959,3.85026197698473,-2.83911012651239
"ID14",25.9296408439384,0.236912551926261,3.63196410750537,-3.29252272751039
"ID16",26.8995142942388,0.0314682542329636,3.81200583933387,-2.53919256086972
"ID17",21.1769853853345,0.792546318592141,3.74455429059194,-4.44238646997728
"ID19",22.959519144754,-0.00988039281274468,4.15662311060208,-3.4154638307553
"ID20",26.3020302853443,22.2547920487356,3.35251319187164,-3.18699688551549
