"ID","p1","p2","p3","p4"
"ID1",24.9728092181907,-1.12236613863355,4.2127325928057,-3.17811748347568
"ID2",24.1591809813928,-0.194897295428199,3.73943312685963,-2.73217811923977
"ID3",21.3934360459841,-1.47341745453682,4.58351278362113,-3.38450758634706
"ID4",24.4861021286962,1.45559230765419,3.47886400546839,-3.08321175653641
"ID5",20.1959423947554,0.21004291983388,3.35981937142842,-0.940504326871565
"ID6",22.6224434535784,0.225755604879296,3.44543212116556,-3.81836088880425
"ID7",26.6363887290609,0.103196433367155,3.76157732192996,-2.79555876896395
"ID8",22.5576644373004,-0.337232839158406,4.07248553458179,-3.19041240740235
"ID10",25.7780836665081,0.387249440066446,3.69560856425123,-3.27942560420494
"ID11",26.9604751900045,0.481618274243858,3.77276559459505,-3.76478514050874
"ID12",29.2169358417672,-0.0723245229870187,3.79777829527128,-3.08091668276287
"ID13",29.4228247615661,0.0855017953738712,3.66930169828749,-2.83934398539942
"ID14",25.5586806931241,1.00078791349514,3.58491925480713,-3.51003220011316
"ID16",26.8163884760663,0.018864327946999,3.81152257510723,-2.57573516062495
"ID17",25.5435273744474,-0.476025014198655,3.96404476243814,-2.46604272621093
"ID19",22.9606073126181,-0.00986997245434256,4.15664638930645,-3.41528922750638
"ID20",26.3071059602704,-0.0527227613888945,3.86345155043002,-2.99357843687759
