"ID","p1","p2","p3","p4","convergence","sse"
"ID1",20.3739853171876,6.12399569355026,-3.42897393081047,-22.5069577931912,0,7.76614533790333
"ID1",20.377002406569,4.63601859216107,-1.41970839642298,-27.2994179082117,0,7.76614934744622
"ID1",18.885802869331,-2.82087613912999,-27.607074421723,-15.2735712237279,0,26.3185324338546
"ID1",18.7348025640755,-21.4077951754837,10.55930964842,-3.34963739002213,0,28.9694680849137
"ID1",18.8819407062948,-2.8165574587874,-8.92121205236162,-20.0845028335033,0,26.318417630997
"ID1",20.3736964893675,1.8793298546228,2.23554912030861,-20.3447390144224,0,7.76614593567281
"ID1",21.0626563195718,-0.97981851665201,3.91737820559052,-6.33237001905704,0,4.49482926717771
"ID1",20.3758765415267,1.52069564008955,2.55492519105924,-25.2471851284728,0,7.7661454456691
"ID1",24.9182634900846,-0.218356074794535,3.64095124988507,-3.39204981105864,0,0.54299381623067
"ID1",18.8835335712223,-2.8176344820079,-7.41812072837067,-17.5562049525153,0,26.3183732684221
"ID1",21.088748955701,0.869087964998875,2.06885077694222,-5.13991723597339,0,7.53785903668001
"ID1",20.3742176693817,3.72043022920536,1.21811689781453,-15.3090295003712,0,7.76612748100803
"ID1",25.6009728776244,5.01229465921557,2.90968346123618,-3.39035746736066,1,0.542947392769188
"ID1",20.3777708274857,2.19405229062855,1.41442216517747,-28.8537507734258,0,7.76615365730357
"ID1",20.3689844488076,4.78551211202261,0.0297308315199514,-18.1304255784947,0,7.76618308477074
"ID1",23.758126571407,5.63319963440191,2.90492439406327,-3.67850510806641,1,1.30886202635255
"ID1",20.3639516043549,5.01275110092031,0.0807497958329051,-13.2926639647556,0,7.76615433247334
"ID1",25.6000063035914,4.8018647542288,2.91109914282146,-3.38956441548777,0,0.542925917862846
"ID1",24.8448169282098,-0.350953441297784,3.70992614599179,-3.38842636278221,0,0.542934124180724
"ID1",26.4713581342194,2.292989551535,2.95098016323824,-3.29241074383218,1,0.922360101404869
"ID1",20.3787403402954,13.9467071241403,2.39277732607228,-36.2798119913732,0,7.76616100174991
"ID1",21.555496877645,0.811283005290098,3.01271707151235,-5.94903710253874,0,4.25956728573936
"ID1",20.3788561328812,5.21634815590263,-2.7439962520238,-21.3689230662192,0,7.76616197969591
"ID1",25.553954472168,2.4211952739946,2.98148595420772,-3.3895953631995,0,0.54292521204702
"ID1",21.1260426030629,1.57026665973966,0.951938905037334,-5.13427606892847,0,7.53786679128894
"ID1",21.1131522582217,15.3553655647927,1.35752537012005,-5.13891846996175,0,7.53785889445823
"ID1",21.0884747193828,-0.28293945188834,3.17371560505664,-18.4238368138964,0,4.89176519619509
"ID1",24.9633394277139,-1.12221685176269,4.21211216490455,-3.18050615009056,0,0.292320778167866
"ID1",20.3535937711711,32.56796553686,0.814129041654431,-69.6864477204888,0,7.76665852859768
"ID1",20.3740122599652,2.16042247990513,0.425217220238702,-35.2760089718823,0,7.76614529546283
"ID1",21.0877986061413,-0.599380597367101,3.69854888608127,-21.3459504614927,0,4.8917709374663
"ID1",26.9344577625238,1.33172723605908,3.13137173088174,-3.18688810117993,1,1.02833653700634
"ID1",20.3662816739783,5.45847528949567,-2.6279162556142,-25.7325190291518,0,7.76622860891435
"ID1",21.0628049011397,0.74231524100774,2.53635211907441,-5.13695654664239,0,7.53784874532545
"ID1",21.2214989772438,-0.849234366405658,3.35069124649413,-5.80190487153725,0,4.20336797910156
"ID1",21.1354563522814,2.26891560035968,2.97060872608159,-7.56216381126578,0,4.75917994529946
