"ID","p1","p2","p3","p4"
"Throat_1",14.8642441388417,0.790901752677097,3.66216166504064,-4.0719282624094
"Throat_2",14.8135401599522,0.0615377260423313,3.93529232625154,-5.24165889705949
"Throat_3",19.9974678571692,-1.0259178998369,4.12594404571306,-2.6333308882435
"Throat_4",17.6739014205333,-1.71429557837611,4.42273431997649,-2.69090189200647
"Throat_5",15.8634162238659,-1.17367014188692,4.30323253167579,-3.54118812137344
"Throat_6",19.0105639622338,2.27480156832691,4.28875749570316,-3.23821126488125
"Throat_7",19.0951107614756,-2.05004049608982,4.90287302135109,-2.84234705230826
"Throat_8",18.9884141438066,-1.57859588045417,4.43077316987294,-3.10828301468889
"Throat_9",16.2812087013173,-1.92989260532889,4.811328698165,-3.00123349424573
"Throat_10",20.3213604971784,-0.900420899115702,4.40995422284015,-2.97195123096236
"Throat_11",20.5570239293463,-1.72759092789015,4.56180927013034,-1.57398058166106
"Throat_12",15.7179377354357,-1.12642565271204,3.96551380918329,-14.7044072942909
"Throat_13",15.6401354900997,1.30114121751445,3.68046847758947,-5.01652173002268
"Throat_14",14.236264162858,4.95963560089575,4.27038278232868,-3.56386949824262
"Throat_15",14.3710358844722,1.40248127969783,3.88788709886853,-3.54360157852435
"Throat_16",15.6056764918041,-1.23447627003213,4.37741574382906,-4.3144970208193
"Throat_17",19.7092206901043,-1.82843043968658,5.0057640703758,-3.21484955484625
"Throat_18",12.7755417186855,-1.80723931296976,4.70246807079235,-4.45998404248654
