"ID","p1","p2","p3","p4"
"Throat_1",14.1907440261558,22.9010430584338,3.1791197665143,-19.2239257465848
"Throat_2",15.7051103570657,0.883150645642642,3.90749521073191,-3.82445718160734
"Throat_3",19.8026806615746,0.253005548013125,3.94569796448161,-2.89413510559322
"Throat_4",17.6738481294443,-1.71439769631921,4.4227018266194,-2.6910117494513
"Throat_5",16.9536709175989,-1.22130519365711,4.36820213251246,-2.60040896102127
"Throat_6",18.8885261169042,0.740480086165457,4.33078737945778,-3.23811318140867
"Throat_7",19.0950617402703,-2.0501748021311,4.90291932964251,-2.84225490006761
"Throat_8",21.4417454353905,-1.81464868293125,4.707958337044,-1.46147840175237
"Throat_9",15.7004241491362,-1.95199939542028,4.78520760200491,-3.23373684454095
"Throat_10",20.8739065081927,-0.901585889928987,4.42679057320884,-2.76189444249442
"Throat_11",20.2419966109738,-1.73248373886535,4.54587168375708,-1.72980213250263
"Throat_12",15.0114012836816,-1.06535635059166,3.90573377966212,-5.46673678109679
"Throat_13",17.2851648614034,1.52467630019666,3.76475783339861,-3.29549590958461
"Throat_14",14.9834932328926,0.402805850518105,4.27744175433999,-3.20965342030934
"Throat_15",14.6516843509742,1.58793277287838,3.88629496909399,-3.58278867278211
"Throat_16",17.2593710317753,-1.7173088337857,4.64147663037853,-3.21399710316512
"Throat_17",20.0867962777613,-1.85044711067717,5.03056614832363,-3.03739260135447
"Throat_18",13.544633404191,-2.47095191271986,4.98176498622184,-3.7477232537628
